account,position,term,walker_fee,cnt_500,cnt_1000
丁守中,立法委員,8,,0,0
李鴻鈞,立法委員,8,,0,0
林德福,立法委員,8,,0,0
羅明才,立法委員,8,,0,0
江惠貞,立法委員,8,,0,0
顏清標,立法委員,8,,0,0
蔣乃辛,立法委員補選,7,,0,0
潘孟安,立法委員,8,,0,0
費鴻泰,立法委員,8,,0,0
張慶忠,立法委員,8,,0,0
朱立倫,新北市市長,1,737000,316,579
吳育昇,立法委員,8,104500,1,104
王惠美,立法委員,8,57000,34,40
賴清德,臺南市市長,1,38500,13,32
"馬英九,吳敦義","總統,副總統",13,35500,19,26
蘇震清,立法委員,8,22000,0,22
林鴻池,立法委員,8,5500,5,3
蔣乃辛,立法委員,8,3500,3,2
賴士葆,立法委員,8,3000,2,2
徐耀昌,立法委員,8,3000,2,2
廖正井,立法委員,8,1000,2,0
蔡錦隆,立法委員,8,1000,2,0
王進士,立法委員,8,1000,0,1
