No,r,p,account1,position1,term
1,672726498,309333527,馬英九,總統,13
2,64672461,27790872,吳育昇,立法委員,8
3,29644395,15276271,顏清標,立法委員,8
4,23857972,21106152,蘇震清,立法委員,8
5,16089881,16115652,林德福,立法委員,8
6,17246679,18938483,蔡錦隆,立法委員,8
7,83174998,72442930,賴清德,臺南市市長,1
8,29892866,29752159,王惠美,立法委員,8
9,57557081,13465656,丁守中,立法委員,8
10,25753538,26534682,徐耀昌,立法委員,8
11,3643600,15653750,張慶忠,立法委員,8
12,14603800,11243781,蔣乃辛,立法委員補選,7
13,17583868,17978550,謝國樑,立法委員,8
14,29979316,0,黃昭順,立法委員,8
15,93004619,73330073,朱立倫,新北市市長,1
16,20295340,17956920,林鴻池,立法委員,8
17,20272710,22055697,李鴻鈞,立法委員,8
18,19793521,8646300,蔣乃辛,立法委員,8
19,10641250,0,蔡正元,立法委員,8
20,35015437,37734064,楊瓊瓔,立法委員,8
21,16817847,16832868,江惠貞,立法委員,8
22,40085414,41852862,費鴻泰,立法委員,8
23,8318052,7063574,蔣乃辛,臺北市市議員,10
24,19014185,20065556,廖正井,立法委員,8
25,28055092,24569816,賴士葆,立法委員,8
26,15862998,27118839,王進士,立法委員,8
27,18635917,14531637,潘孟安,立法委員,8
None,23879693,16956426,無名,無名,0
