page,row,col
38,9,2
174,9,5
362,10,5
372,3,5
548,2,4
655,20,4
785,13,4
1104,12,6
1287,5,4
1306,7,5
1443,19,5
1533,3,5
1621,8,5
1634,21,2
1681,2,5
1701,1,6
1706,21,2
1810,2,5
1853,18,4
1864,11,5
1871,15,4
1887,13,5
1901,18,5
2113,16,2
2160,20,5
2229,7,5
2419,12,5
2612,19,4
2638,1,2
2638,1,5
2638,1,6
2638,1,7
2638,1,8
2639,1,2
2639,1,5
2639,1,6
2639,1,7
2639,1,8
2640,1,2
2640,1,5
2640,1,6
2640,1,7
2888,3,5
2888,14,5
2889,13,5
2891,19,5
2896,7,5
2984,7,6
2997,1,7
3018,10,5
3022,1,5
3022,1,6
3023,1,2
3023,1,6
3025,1,6
3025,1,7
3025,1,8
3026,1,2
3026,1,5
3026,1,6
3026,1,7
3026,1,8
3146,4,2
3170,19,6
3175,3,8
3203,15,8
3215,2,8
3222,4,8
3226,2,7
3226,2,8
3226,19,8
3295,18,7
3296,5,5
3304,6,8
3309,7,8
3334,18,6
3357,13,5
3379,14,2
3401,5,5
3428,10,5
3433,2,2
3452,11,7
3553,19,8
3562,4,5
3616,19,5
3628,12,8
3649,21,7
3650,11,7
3655,7,7
3674,4,7
4109,8,2
4109,10,4
4111,19,2
4126,18,7
4170,3,2
4584,4,5
4596,14,7
4599,13,6
4629,4,5
