user_id,input_cnt,valid_input_cnt,correct_cnt,odd_input_cnt,correct_rate,rank,score,work_time
319398,1199,1175,1157,18,0.98468085106383,18563,0.132454664423257,763.683333333333
665117,13,11,11,2,1,9614,0.54940175733782,2.53333333333333
850221,40,40,40,0,1,3886,0.815526266591886,4.33333333333333
1017703,124,123,123,1,1,1087,0.949055898298747,176.3
1018979,19,18,18,0,1,7351,0.654281174051225,1.7
1326989,167,166,166,1,1,692,0.967657506075902,60.2833333333333
1378648,1,0,0,1,-1,21215,0.00294447560291643,0
1570617,9,9,9,0,1,10062,0.516171246962049,21.6333333333333
1631472,13,4,3,3,0.75,20525,0.0407552813610021,0.316666666666667
1818890,63,63,63,0,1,2436,0.884885025238362,26.7
1919672,50,50,50,0,1,3115,0.853150121518041,1.85
2067648,49,45,42,4,0.933333333333333,19776,0.0757618246401196,11.5166666666667
2135491,31,28,28,3,1,5405,0.747289212936998,2.66666666666667
2526931,2,2,2,0,1,13960,0.316788184707422,9.43333333333333
2720665,5,4,4,1,1,13005,0.387595812301365,0.616666666666667
2827873,4,3,3,1,1,13725,0.35347728547392,0.483333333333333
2929486,10,9,9,1,1,10354,0.513226771359133,1.23333333333333
3041100,1097,1072,1065,6,0.993470149253731,17688,0.173350158908207,283.65
3063366,70,65,63,0,0.969230769230769,19211,0.102168629650402,17.55
3338091,475,472,470,0,0.995762711864407,17317,0.190689848569826,55.6666666666667
3750647,5,3,3,2,1,13835,0.352028416526454,0.716666666666667
3861321,9,9,9,0,1,10062,0.516171246962049,1.23333333333333
3937683,30,30,30,0,1,4990,0.762385492615442,41.5
4232563,9,9,7,0,0.777777777777778,20427,0.0452888390353337,2.21666666666667
4823122,4,4,4,0,1,12531,0.392269583099645,0.583333333333333
5996236,21,21,21,0,1,6499,0.688539914002617,3.43333333333333
6143193,88,86,85,2,0.988372093023256,18297,0.144793419330716,257.7
6364039,8,8,8,0,1,10474,0.496027294821462,1
6446601,14,14,14,0,1,8276,0.603103383810058,2.33333333333333
6756570,94,92,92,2,1,1582,0.925827257431296,2752.55
7071188,32,26,23,1,0.884615384615385,20108,0.0602449055898299,5.46666666666667
7168428,13,13,13,0,1,8586,0.587539727051785,20.95
7353423,14,13,13,0,1,8827,0.584828939988783,1.73333333333333
7505640,2,2,2,0,1,13960,0.316788184707422,17.8666666666667
7535296,61,61,61,0,1,2520,0.881052533183773,6.98333333333333
7547040,8,4,1,4,0.25,20941,0.0212189194241914,0.533333333333333
7726790,67,67,67,0,1,2263,0.893251074967284,3.46666666666667
7915845,6,6,6,0,1,11428,0.448822209758833,0.466666666666667
8126559,37,37,36,0,0.972972972972973,19082,0.107777154608338,8.28333333333333
8336053,37,36,36,0,1,4351,0.795662740699196,7.33333333333333
9202019,8,7,7,0,1,11279,0.468685735651524,1.05
9226603,27,26,26,0,1,5667,0.733922228453917,223.733333333333
9253038,13,13,13,0,1,8586,0.587539727051785,7.36666666666667
9284346,1,1,1,0,1,14959,0.252757524770985,0
10004122,56,56,56,0,1,2774,0.869368106188073,3.41666666666667
10089515,55,54,54,1,1,2902,0.863806318938119,2.51666666666667
10219593,45,45,45,0,1,3480,0.835249579360628,3.26666666666667
10371594,7,6,6,0,1,11795,0.444942979996261,0.65
10636134,3,3,3,0,1,13185,0.358618433352028,0.316666666666667
11178763,23,23,23,0,1,6089,0.709197980931015,1.43333333333333
11205507,296,296,293,0,0.989864864864865,18149,0.151804075528136,755.533333333333
11561941,20,20,20,0,1,6757,0.678538044494298,0.866666666666667
11894173,4,4,4,0,1,12531,0.392269583099645,0.433333333333333
11899411,30,29,29,0,1,5217,0.75500093475416,5.25
11993968,12,12,12,0,1,8924,0.571555430921668,7.93333333333333
12247577,6,6,5,0,0.833333333333333,20268,0.0513647410730978,0.766666666666667
12402210,4,4,4,0,1,12531,0.392269583099645,0.416666666666667
12743911,4,2,2,2,1,14783,0.307393905402879,0.516666666666667
12800451,4,4,4,0,1,12531,0.392269583099645,0.6
12959084,2,2,2,0,1,13960,0.316788184707422,0.466666666666667
13245701,63,63,62,0,0.984126984126984,18594,0.130865582351841,2.6
13256387,3,2,2,1,1,14620,0.309169938306225,0.216666666666667
13448612,936,513,293,422,0.571150097465887,20723,0.0315012151804076,5888.56666666667
13461709,30,30,30,0,1,4990,0.762385492615442,1.93333333333333
14099583,4,4,4,0,1,12531,0.392269583099645,0.7
14193549,21,20,19,0,0.95,19602,0.0837072349971957,1.53333333333333
14310838,36,34,34,2,1,4605,0.784352215367358,4.58333333333333
14603936,13,13,13,0,1,8586,0.587539727051785,1.06666666666667
14655337,13,12,11,1,0.916666666666667,19908,0.0692652832305104,4.16666666666667
14927635,70,70,70,0,1,2162,0.89820527201346,2.71666666666667
15133924,3,3,3,0,1,13185,0.358618433352028,0.15
15180625,4,4,3,0,0.75,20457,0.0424845765563657,0.616666666666667
15205233,6,6,6,0,1,11428,0.448822209758833,0.866666666666667
15223866,18,17,17,1,1,7624,0.641802206019817,2.26666666666667
15293038,95,93,93,1,1,1557,0.927135913254814,80.25
15534411,63,52,49,7,0.942307692307692,19690,0.0797812675266405,102
15569870,5,5,5,0,1,11954,0.421620863712844,0.116666666666667
15620332,39,1,1,0,1,16749,0.217190128996074,3.81666666666667
16347211,71,71,71,0,1,2121,0.899747616376893,233.55
16573557,56,56,56,0,1,2774,0.869368106188073,3.18333333333333
16739911,125,123,122,0,0.991869918699187,17914,0.162740699196111,842.733333333333
16799113,61,60,60,0,1,2591,0.87866891007665,17.4833333333333
17006325,7,6,6,1,1,11795,0.444942979996261,0.9
17433704,27,27,27,0,1,5418,0.742475229014769,7.15
18085938,25,25,25,0,1,5718,0.727051785380445,97.15
18383067,8,7,7,1,1,11279,0.468685735651524,1.41666666666667
18456114,21,21,21,0,1,6499,0.688539914002617,0.983333333333333
18495290,11,10,10,1,1,9930,0.532482707048046,0.716666666666667
18796935,5,5,5,0,1,11954,0.421620863712844,6.5
18987957,10,10,10,0,1,9660,0.535988035146756,1.16666666666667
19186357,22,19,18,2,0.947368421052632,19648,0.0816975135539353,2.75
19262710,6,1,1,0,1,16523,0.226070293512806,1.05
19306027,5,5,5,0,1,11954,0.421620863712844,0.633333333333333
19324168,21,21,21,0,1,6499,0.688539914002617,1.53333333333333
19334321,130,128,127,1,0.9921875,17860,0.165311273135165,1890.28333333333
19798775,15,14,14,1,1,8494,0.600766498410918,1.76666666666667
20180338,6,5,5,0,1,12377,0.417648158534305,0.7
20527376,151,150,150,0,1,818,0.961721817162086,204.833333333333
