page,row,col
6,9,5
13,18,3
25,16,3
33,3,7
38,9,2
40,17,3
68,19,3
72,4,9
73,5,9
78,2,9
89,3,9
90,9,5
90,11,9
138,4,5
167,18,9
174,9,5
176,16,9
192,20,7
195,11,2
197,13,5
211,7,9
229,20,3
256,13,4
320,2,9
362,10,5
363,9,4
372,3,5
397,19,5
420,5,9
464,2,9
467,14,7
514,2,3
516,17,2
529,9,4
540,7,2
548,2,4
566,17,3
572,18,7
572,21,5
580,11,4
619,7,3
622,3,7
653,9,4
655,20,4
662,3,7
668,13,6
695,16,4
698,11,9
715,2,5
743,12,6
785,13,4
799,12,3
822,13,5
856,17,6
885,9,2
897,8,5
913,2,4
924,14,7
954,9,5
967,16,5
999,4,2
1048,15,9
1055,14,9
1104,12,6
1111,10,2
1124,17,9
1175,7,7
1229,20,7
1255,20,9
1260,16,4
1279,3,4
1284,20,2
1287,5,4
1287,20,5
1306,7,5
1318,14,5
1329,9,6
1407,21,2
1417,14,5
1431,10,3
1443,19,5
1485,2,5
1493,19,3
1522,18,5
1528,3,9
1533,3,5
1535,7,5
1540,3,9
1563,18,4
1575,14,3
1611,5,7
1621,8,5
1643,11,7
1661,14,5
1681,2,5
1687,9,6
1701,1,6
1757,4,3
1763,18,6
1767,8,5
1810,2,5
1853,18,4
1856,6,3
1861,14,2
1864,11,5
1871,15,4
1882,20,5
1887,13,5
1901,18,5
1902,17,6
1929,20,5
1933,17,7
1952,17,2
1970,17,2
1978,18,7
1993,7,5
2019,15,2
2061,5,6
2095,12,4
2138,5,5
2140,4,7
2141,2,3
2160,20,5
2196,5,2
2229,7,5
2241,5,5
2280,17,6
2300,13,6
2304,11,7
2357,13,7
2396,14,4
2399,9,5
2414,11,5
2419,12,5
2464,4,5
2612,19,4
2638,1,2
2638,1,4
2638,1,5
2638,1,6
2638,1,7
2638,1,8
2638,1,9
2638,2,2
2638,2,4
2638,2,6
2638,2,7
2638,2,8
2638,2,9
2638,3,2
2638,3,5
2638,3,6
2638,3,7
2638,3,9
2638,4,2
2638,4,4
2638,4,5
2638,4,6
2638,4,7
2638,4,9
2638,5,2
2638,5,4
2638,5,5
2638,5,6
2638,5,8
2638,6,2
2638,6,4
2638,6,5
2638,6,6
2638,6,7
2638,6,9
2638,7,2
2638,7,7
2638,7,8
2638,8,2
2638,8,4
2638,8,6
2638,8,7
2638,8,8
2638,9,2
2638,9,5
2638,9,6
2638,9,7
2638,9,8
2638,9,9
2638,10,2
2638,10,4
2638,10,5
2638,10,6
2638,10,7
2638,10,8
2638,10,9
2638,11,2
2638,11,4
2638,11,5
2638,11,6
2638,11,8
2638,12,2
2638,12,5
2638,12,7
2638,12,8
2638,13,2
2638,13,4
2638,13,8
2638,14,2
2638,14,4
2638,14,5
2638,14,6
2638,14,7
2638,14,9
2638,15,2
2638,15,4
2638,15,5
2638,15,6
2638,15,7
2638,15,8
2638,15,9
2638,16,2
2638,16,4
2638,16,6
2638,16,7
2638,16,8
2638,17,2
2638,17,4
2638,17,7
2638,18,2
2638,18,4
2638,18,5
2638,18,6
2638,18,8
2638,18,9
2638,19,2
2638,19,4
2638,19,5
2638,19,8
2638,19,9
2638,20,2
2638,20,5
2638,20,8
2639,1,2
2639,1,4
2639,1,5
2639,1,6
2639,1,7
2639,1,8
2639,2,2
2639,2,4
2639,2,5
2639,2,7
2639,2,8
2639,2,9
2639,3,2
2639,3,4
2639,3,6
2639,3,9
2639,4,2
2639,4,4
2639,4,5
2639,4,6
2639,4,7
2639,4,8
2639,5,2
2639,5,4
2639,5,5
2639,5,6
2639,5,7
2639,5,9
2639,6,2
2639,6,4
2639,6,5
2639,6,6
2639,6,7
2639,6,8
2639,7,2
2639,7,4
2639,7,6
2639,7,7
2639,7,8
2639,8,2
2639,8,4
2639,8,5
2639,8,6
2639,8,8
2639,8,9
2639,9,2
2639,9,4
2639,9,5
2639,9,6
2639,9,7
2639,9,9
2639,10,2
2639,10,6
2639,10,7
2639,10,8
2639,10,9
2639,11,2
2639,11,4
2639,11,5
2639,11,6
2639,11,7
2639,11,8
2639,11,9
2639,12,4
2639,12,6
2639,12,7
2639,12,8
2639,13,2
2639,13,4
2639,13,5
2639,13,6
2639,13,8
2639,13,9
2639,14,2
2639,14,4
2639,14,5
2639,14,7
2639,14,9
2639,15,2
2639,15,4
2639,15,6
2639,15,7
2639,16,2
2639,16,4
2639,16,6
2639,16,7
2639,16,8
2639,16,9
2639,17,4
2639,17,6
